title;artist;instrumentation;duration;instrumentationType;programNotes;audioFile;pdfPreview;storeLink;premiereDate;premiereLocation;ensemble;commissioner;dedication;awards
El Puerto;Isaac Albéniz;Cuarteto de flautas;4';Cuarteto;Instrumentación: Flautín, Flauta I, Flauta II y Flauta III.;;images/scores/arrangements/puerto.png;;;;;;;
Rumores de la caleta;Isaac Albéniz;Cuarteto de flautas;3'25'';Cuarteto;Instrumentación: Flautín, Flauta I, Flauta II y Flauta III.;https://youtu.be/n-oK8uocJeI?si=-ytJJqA6cKWEOeTM;images/scores/arrangements/caleta.png;;;;;;;
Danza de la pastora;Ernesto Halffter;Cuarteto de saxofones;3' 15'';Cuarteto;;https://soundcloud.com/ezequiel-navarrete-cap/danza-de-la-pastora-halffter?si=4a75b895155a44d7b12a69b044a4e403&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing;images/scores/arrangements/halffter.png;;;;;;;
Serenata andaluza;Manuel de Falla;Cuarteto de saxofones;6';Cuarteto;;https://soundcloud.com/ezequiel-navarrete-cap/falla-serenata-andaluza-sax?si=34259c8738a5418794aa74ce057ff923&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing;images/scores/arrangements/serenata.png;;;;;;;
Los Vengadores (Main Theme);Alan Silvestri;Quinteto de trombones;2';Quinteto;;https://youtu.be/90VGw68_bcA?si=ZNLDX3Bd493HiJlC;images/scores/arrangements/vengadores.png;;;;;;;
Skyfall (OST from the Motion Picture Skyfall);Adele;Wind Band and Voice;4'45'';Wind Band and Voice;Wind Band and voice arrangement of Skyfall From The Motion Picture Skyfall. The Arrangement has optional parts for Rock Band.;https://soundcloud.com/ezequiel-navarrete-cap/skyfall-adele-banda?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=677bae1043c74ac9a0780958a0f13d55;images/scores/arrangements/skyfall.png;https://www.sheetmusicdirect.com/es-ES/se/ID_No/1570698/Product.aspx;2022;;;;;
Eungenio' Salvador Dalí;Mecano;Wind Band and Voice;5'30'';Wind Band and Voice;;https://soundcloud.com/ezequiel-navarrete-cap/dali-mecano-banda?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=a3a610419bd44de6a84f6c0d7233c23c;images/scores/arrangements/dali.png;https://www.sheetmusicdirect.com/se/ID_No/1859067/Product.aspx;2022;;;;;
Cruz de navajas;Mecano;Wind Band and Voice;5'45'';Wind Band and Voice;;https://soundcloud.com/ezequiel-navarrete-cap/cruz-de-navajas-mecano-banda?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=291effe97cac4543954e438cf061e720;images/scores/arrangements/cruzdenavajas.png;https://www.sheetmusicdirect.com/se/ID_No/1859075/Product.aspx;;;;;;
